Caracteristică,Descriere
Total Fwd Packets,"Caracteristica 'Total Fwd Packets' prezintă o valoare medie de aproximativ 9.56, cu o abatere standard de 747.20, indicând o variabilitate ridicată în cadrul traficului. Valoarea maximă foarte mare (203943) sugerează apariția unor anomalii sau comportamente de tip flooding, caracteristice atacurilor DoS/DDoS. Această caracteristică este relevantă în analiza comportamentelor deviante, deoarece poate evidenția discrepanțe față de traficul legitim din rețea."
Total Backward Packets,"Caracteristica 'Total Backward Packets' prezintă o valoare medie de aproximativ 10.21, cu o abatere standard de 984.20, indicând o variabilitate ridicată în cadrul traficului. Prezența valorii minime egale cu 0 sugerează existența unor fluxuri în care această caracteristică lipsește complet, ceea ce este tipic pentru sesiuni incomplete sau pentru atacuri în care sensul opus este neglijat. Valoarea maximă foarte mare (272353) sugerează apariția unor anomalii sau comportamente de tip flooding, caracteristice atacurilor DoS/DDoS. Această caracteristică este relevantă în analiza comportamentelor deviante, deoarece poate evidenția discrepanțe față de traficul legitim din rețea."
Subflow Fwd Bytes,"Caracteristica 'Subflow Fwd Bytes' prezintă o valoare medie de aproximativ 555.09, cu o abatere standard de 6163.66, indicând o variabilitate ridicată în cadrul traficului. Prezența valorii minime egale cu 0 sugerează existența unor fluxuri în care această caracteristică lipsește complet, ceea ce este tipic pentru sesiuni incomplete sau pentru atacuri în care sensul opus este neglijat. Valoarea maximă foarte mare (1224076) sugerează apariția unor anomalii sau comportamente de tip flooding, caracteristice atacurilor DoS/DDoS. Această caracteristică este relevantă în analiza comportamentelor deviante, deoarece poate evidenția discrepanțe față de traficul legitim din rețea."
Subflow Bwd Bytes,"Caracteristica 'Subflow Bwd Bytes' prezintă o valoare medie de aproximativ 16994.89, cu o abatere standard de 2240952.80, indicând o variabilitate ridicată în cadrul traficului. Prezența valorii minime egale cu 0 sugerează existența unor fluxuri în care această caracteristică lipsește complet, ceea ce este tipic pentru sesiuni incomplete sau pentru atacuri în care sensul opus este neglijat. Valoarea maximă foarte mare (627046409) sugerează apariția unor anomalii sau comportamente de tip flooding, caracteristice atacurilor DoS/DDoS. Această caracteristică este relevantă în analiza comportamentelor deviante, deoarece poate evidenția discrepanțe față de traficul legitim din rețea."
Max Packet Length,"Caracteristica 'Max Packet Length' prezintă o valoare medie de aproximativ 1725.13, cu o abatere standard de 2634.37, indicând o variabilitate ridicată în cadrul traficului. Prezența valorii minime egale cu 0 sugerează existența unor fluxuri în care această caracteristică lipsește complet, ceea ce este tipic pentru sesiuni incomplete sau pentru atacuri în care sensul opus este neglijat. Această caracteristică este relevantă în analiza comportamentelor deviante, deoarece poate evidenția discrepanțe față de traficul legitim din rețea."
Min Packet Length,"Caracteristica 'Min Packet Length' prezintă o valoare medie de aproximativ 13.72, cu o abatere standard de 27.52, indicând o variabilitate ridicată în cadrul traficului. Prezența valorii minime egale cu 0 sugerează existența unor fluxuri în care această caracteristică lipsește complet, ceea ce este tipic pentru sesiuni incomplete sau pentru atacuri în care sensul opus este neglijat. Această caracteristică este relevantă în analiza comportamentelor deviante, deoarece poate evidenția discrepanțe față de traficul legitim din rețea."
Fwd Packet Length Std,"Caracteristica 'Fwd Packet Length Std' prezintă o valoare medie de aproximativ 82.90, cu o abatere standard de 226.13, indicând o variabilitate ridicată în cadrul traficului. Prezența valorii minime egale cu 0 sugerează existența unor fluxuri în care această caracteristică lipsește complet, ceea ce este tipic pentru sesiuni incomplete sau pentru atacuri în care sensul opus este neglijat. Această caracteristică este relevantă în analiza comportamentelor deviante, deoarece poate evidenția discrepanțe față de traficul legitim din rețea."
Fwd Packet Length Mean,"Caracteristica 'Fwd Packet Length Mean' prezintă o valoare medie de aproximativ 60.56, cu o abatere standard de 157.64, indicând o variabilitate ridicată în cadrul traficului. Prezența valorii minime egale cu 0 sugerează existența unor fluxuri în care această caracteristică lipsește complet, ceea ce este tipic pentru sesiuni incomplete sau pentru atacuri în care sensul opus este neglijat. Această caracteristică este relevantă în analiza comportamentelor deviante, deoarece poate evidenția discrepanțe față de traficul legitim din rețea."
SYN Flag Count,"Caracteristica 'SYN Flag Count' prezintă o valoare medie de aproximativ 0.04, cu o abatere standard de 0.20, indicând o variabilitate ridicată în cadrul traficului. Prezența valorii minime egale cu 0 sugerează existența unor fluxuri în care această caracteristică lipsește complet, ceea ce este tipic pentru sesiuni incomplete sau pentru atacuri în care sensul opus este neglijat. Această caracteristică este relevantă în analiza comportamentelor deviante, deoarece poate evidenția discrepanțe față de traficul legitim din rețea."
PSH Flag Count,"Caracteristica 'PSH Flag Count' prezintă o valoare medie de aproximativ 0.19, cu o abatere standard de 0.40, indicând o variabilitate ridicată în cadrul traficului. Prezența valorii minime egale cu 0 sugerează existența unor fluxuri în care această caracteristică lipsește complet, ceea ce este tipic pentru sesiuni incomplete sau pentru atacuri în care sensul opus este neglijat. Această caracteristică este relevantă în analiza comportamentelor deviante, deoarece poate evidenția discrepanțe față de traficul legitim din rețea."
